8 8 -2.755900 -0.571920 2.183979    0.023494 -0.107671 0.035746   0.013423 
8 9 -2.755900 -0.570634 2.185265    -0.027442 -0.039990 0.002719   0.002360 
9 0 -2.780504 -0.855468 1.925036    0.067967 0.231813 0.047520   0.060615 
9 1 -2.780504 -0.853587 1.926917    0.372999 0.393651 0.229338   0.346685 
9 2 -2.780504 -0.851864 1.928640    0.425473 -0.076922 0.482104   0.419368 
9 3 -2.780504 -0.709018 2.071486    -0.017719 -0.078089 -0.024821   0.007028 
9 4 -2.780504 -0.635075 2.145429    -0.120240 -0.038613 -0.052768   0.018733 
9 5 -2.780504 -0.632603 2.147901    -0.021187 -0.110115 0.042676   0.014395 
9 6 -2.780504 -0.620564 2.159940    -0.156335 -0.210757 -0.151137   0.091702 
9 7 -2.780504 -0.574949 2.205555    -0.077940 0.211932 0.013421   0.051170 
9 8 -2.780504 -0.571920 2.208584    -0.301357 0.156623 -0.236866   0.171452 
9 9 -2.780504 -0.570634 2.209870    -0.322397 0.467450 -0.298592   0.411607 
